region,nok_per_kwh,eur_per_kwh,exr,time_start,time_end
NO4,0.46548,0.0466,9.9888,2022-01-01 00:00:00,2022-01-01 01:00:00
NO4,0.41284,0.04133,9.9888,2022-01-01 01:00:00,2022-01-01 02:00:00
NO4,0.42133,0.04218,9.9888,2022-01-01 02:00:00,2022-01-01 03:00:00
NO4,0.4432,0.04437,9.9888,2022-01-01 03:00:00,2022-01-01 04:00:00
NO4,0.37628,0.03767,9.9888,2022-01-01 04:00:00,2022-01-01 05:00:00
NO4,0.39656,0.0397,9.9888,2022-01-01 05:00:00,2022-01-01 06:00:00
NO4,0.40545,0.04059,9.9888,2022-01-01 06:00:00,2022-01-01 07:00:00
NO4,0.43212,0.04326,9.9888,2022-01-01 07:00:00,2022-01-01 08:00:00
NO4,0.49385,0.04944,9.9888,2022-01-01 08:00:00,2022-01-01 09:00:00
NO4,0.49405,0.04946,9.9888,2022-01-01 09:00:00,2022-01-01 10:00:00
NO4,0.49215,0.04927,9.9888,2022-01-01 10:00:00,2022-01-01 11:00:00
NO4,0.48835,0.04889,9.9888,2022-01-01 11:00:00,2022-01-01 12:00:00
NO4,0.48396,0.04845,9.9888,2022-01-01 12:00:00,2022-01-01 13:00:00
NO4,0.4416,0.04421,9.9888,2022-01-01 13:00:00,2022-01-01 14:00:00
NO4,0.42333,0.04238,9.9888,2022-01-01 14:00:00,2022-01-01 15:00:00
NO4,0.42043,0.04209,9.9888,2022-01-01 15:00:00,2022-01-01 16:00:00
NO4,0.42253,0.0423,9.9888,2022-01-01 16:00:00,2022-01-01 17:00:00
NO4,0.40545,0.04059,9.9888,2022-01-01 17:00:00,2022-01-01 18:00:00
NO4,0.40065,0.04011,9.9888,2022-01-01 18:00:00,2022-01-01 19:00:00
NO4,0.38477,0.03852,9.9888,2022-01-01 19:00:00,2022-01-01 20:00:00
NO4,0.34671,0.03471,9.9888,2022-01-01 20:00:00,2022-01-01 21:00:00
NO4,0.32444,0.03248,9.9888,2022-01-01 21:00:00,2022-01-01 22:00:00
NO4,0.32843,0.03288,9.9888,2022-01-01 22:00:00,2022-01-01 23:00:00
NO4,0.32404,0.03244,9.9888,2022-01-01 23:00:00,2022-01-02 00:00:00
NO4,0.31994,0.03203,9.9888,2022-01-02 00:00:00,2022-01-02 01:00:00
NO4,0.31744,0.03178,9.9888,2022-01-02 01:00:00,2022-01-02 02:00:00
NO4,0.31764,0.0318,9.9888,2022-01-02 02:00:00,2022-01-02 03:00:00
NO4,0.31854,0.03189,9.9888,2022-01-02 03:00:00,2022-01-02 04:00:00
NO4,0.29527,0.02956,9.9888,2022-01-02 04:00:00,2022-01-02 05:00:00
NO4,0.31934,0.03197,9.9888,2022-01-02 05:00:00,2022-01-02 06:00:00
NO4,0.31625,0.03166,9.9888,2022-01-02 06:00:00,2022-01-02 07:00:00
NO4,0.32244,0.03228,9.9888,2022-01-02 07:00:00,2022-01-02 08:00:00
NO4,0.32893,0.03293,9.9888,2022-01-02 08:00:00,2022-01-02 09:00:00
NO4,0.36269,0.03631,9.9888,2022-01-02 09:00:00,2022-01-02 10:00:00
NO4,0.37248,0.03729,9.9888,2022-01-02 10:00:00,2022-01-02 11:00:00
NO4,0.37458,0.0375,9.9888,2022-01-02 11:00:00,2022-01-02 12:00:00
NO4,0.37448,0.03749,9.9888,2022-01-02 12:00:00,2022-01-02 13:00:00
NO4,0.37448,0.03749,9.9888,2022-01-02 13:00:00,2022-01-02 14:00:00
NO4,0.36929,0.03697,9.9888,2022-01-02 14:00:00,2022-01-02 15:00:00
NO4,0.3591,0.03595,9.9888,2022-01-02 15:00:00,2022-01-02 16:00:00
NO4,0.34991,0.03503,9.9888,2022-01-02 16:00:00,2022-01-02 17:00:00
NO4,0.33173,0.03321,9.9888,2022-01-02 17:00:00,2022-01-02 18:00:00
NO4,0.32913,0.03295,9.9888,2022-01-02 18:00:00,2022-01-02 19:00:00
NO4,0.32873,0.03291,9.9888,2022-01-02 19:00:00,2022-01-02 20:00:00
NO4,0.33213,0.03325,9.9888,2022-01-02 20:00:00,2022-01-02 21:00:00
NO4,0.3523,0.03527,9.9888,2022-01-02 21:00:00,2022-01-02 22:00:00
NO4,0.38926,0.03897,9.9888,2022-01-02 22:00:00,2022-01-02 23:00:00
NO4,0.32893,0.03293,9.9888,2022-01-02 23:00:00,2022-01-03 00:00:00
NO4,0.20893,0.02089,10.0013,2022-01-03 00:00:00,2022-01-03 01:00:00
NO4,0.19923,0.01992,10.0013,2022-01-03 01:00:00,2022-01-03 02:00:00
NO4,0.19873,0.01987,10.0013,2022-01-03 02:00:00,2022-01-03 03:00:00
NO4,0.19823,0.01982,10.0013,2022-01-03 03:00:00,2022-01-03 04:00:00
NO4,0.20263,0.02026,10.0013,2022-01-03 04:00:00,2022-01-03 05:00:00
NO4,0.29354,0.02935,10.0013,2022-01-03 05:00:00,2022-01-03 06:00:00
NO4,0.34935,0.03493,10.0013,2022-01-03 06:00:00,2022-01-03 07:00:00
NO4,0.34835,0.03483,10.0013,2022-01-03 07:00:00,2022-01-03 08:00:00
NO4,0.37025,0.03702,10.0013,2022-01-03 08:00:00,2022-01-03 09:00:00
NO4,0.38765,0.03876,10.0013,2022-01-03 09:00:00,2022-01-03 10:00:00
NO4,0.38815,0.03881,10.0013,2022-01-03 10:00:00,2022-01-03 11:00:00
NO4,0.38895,0.03889,10.0013,2022-01-03 11:00:00,2022-01-03 12:00:00
NO4,0.38945,0.03894,10.0013,2022-01-03 12:00:00,2022-01-03 13:00:00
NO4,0.39925,0.03992,10.0013,2022-01-03 13:00:00,2022-01-03 14:00:00
NO4,0.39945,0.03994,10.0013,2022-01-03 14:00:00,2022-01-03 15:00:00
